indicatorNid,indicatorName,parentColumn,unit,subgroup,numerator,denominator,aggregationType,parentType,formId,periodicity,aggregationRule,highIsGood,typeDetailId,area,collection,sector,subsector
149,"Media demo session where Video ""Friendship with health : Ep4 : A solution to Sapna’s Dilemma"" was shown ",,number,total,F3Q5,,number,checkbox,3,monthly,,TRUE,50,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
150,"Media demo session where Video ""Friendship with health : Ep5:Basanti Mausi's Progressive Thinking"" was shown ",,number,total,F3Q5,,number,checkbox,3,monthly,,TRUE,51,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
151,"Media demo session where Video ""Friendship with health : Ep6:Madhu fulfills his responsibility"" was shown ",,number,total,F3Q5,,number,checkbox,3,monthly,,TRUE,52,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
152,Adolescent girls present in Media demonstration sessions,,number,total,F3NDT1,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
153,Women in reproductive age groups (WRA) (15-49) present in Media demonstration sessions  ,,number,total,F3Q7,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
154,Pregnant women present in Media demonstration sessions  ,,number,total,F3Q8,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
155,Older women (50+) present in Media demonstration sessions  ,,number,total,F3Q9,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
156,Men present in Media demonstration sessions  ,,number,total,F3Q10,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
157,Total members present,,number,total,F3NET11,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
158,Percentage of Adolescent girls present in Media demonstration sessions,,percent,Adolescent girls,152,157,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
159,Percentage of Women in reproductive age groups (WRA) (15-49) present in Media demonstration sessions  ,,percent,women of reproductive age group (WRA),153,157,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
160,Percentage of Pregnant women present in Media demonstration sessions  ,,percent,Pregnant women,154,157,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
161,Percentage of Older women (50+) present in Media demonstration sessions  ,,percent,older women,155,157,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
162,Percentage of Men present in Media demonstration sessions  ,,percent,men,156,157,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
163,Media demonstration sessions where front line health workers were present,,number,total,F3Q11,,number,dropdown,3,monthly,,TRUE,53,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
164,Total number of frontline workers present,,number,total,F3Q12,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
165,Average number of front line health workers present in Media demonstration sessions ,,number,average,164,163,avg,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
166,Media demonstration sessions where village officials or policy makers were present,,number,total,F3QNE1,,number,dropdown,3,monthly,,TRUE,53,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
167,Total village officials or policy makers present in Media demonstration sessions,,number,total,F3QNE2,,number,numeric,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
168,Average village officials or policy makers present in Media demonstration sessions ,,number,average,167,166,avg,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
169,Media demonstration sessions were conducted  at home,,number,home,F3Q13,,number,dropdown,3,monthly,,TRUE,56,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
170,Media demonstration sessions were conducted   in T4 approach/community meeting,,number,T4 approach/community meeting,F3Q13,,number,dropdown,3,monthly,,TRUE,57,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
171,Media demonstration sessions were conducted   in community Engagement Meetings,,number,Community Engagement Meetings,F3Q13,,number,dropdown,3,monthly,,TRUE,58,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
172,Media demonstration sessions were conducted   in a public place (e.g. community center and events),,number,public place,F3Q13,,number,dropdown,3,monthly,,TRUE,59,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
173,Percentage of Media demonstration sessions were conducted  at home,,percent,home,169,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
174,Percentage of Media demonstration sessions were conducted   in T4 approach/community meeting,,percent,T4 approach/community meeting,170,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
175,Percentage of Media demonstration sessions were conducted   in Community Engagement Meetings,,percent,Community Engagement Meetings,171,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
176,Percentage of Media demonstration sessions were conducted   in a public place (e.g. community center and events),,percent,public place,172,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
177,Media demonstration sessions the video shown was replayed,,number,total,F3Q15,,number,dropdown,3,monthly,,TRUE,61,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
178,Percentage of Media demonstration sessions the video shown was replayed,,percent,total,177,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
179,Media demonstration sessions where the audience's response to video  was good ,,number,good,F3Q16,,number,dropdown,3,monthly,,TRUE,63,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
180,Media demonstration sessions where the audience's response to video  was neutral,,number,neutral,F3Q16,,number,dropdown,3,monthly,,TRUE,64,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
181,Media demonstration sessions where the audience's response to video  was bad ,,number,bad,F3Q16,,number,dropdown,3,monthly,,TRUE,65,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
182,Media demonstration sessions where the audience's response to video  was really bad,,number,really bad,F3Q16,,number,dropdown,3,monthly,,TRUE,66,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
183,Percentage of Media demonstration sessions where the audience's response to video  was good ,,percent,good,179,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
184,Percentage of Media demonstration sessions where the audience's response to video  was neutral,,percent,neutral,180,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
185,Percentage of Media demonstration sessions where the audience's response to video  was bad ,,percent,bad,181,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
186,Percentage of Media demonstration sessions where the audience's response to video  was really bad,,percent,really bad,182,145,percent,indicator,3,monthly,,TRUE,,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
187,Media demo session supervised,,number,total,F9Q3,,count,form,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
190,Follow up Q&A or discussion after media demonstration sessions,,number,Follow up Q&A,F9Q18,,number,dropdown,9,monthly,,TRUE,167,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
191,Percentage of Follow up Q&A or discussion after media demonstration sessions,,percent,Follow up Q&A,190,187,percent,indicator,9,monthly,,TRUE,,data.F9Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
192,Hemocue sessions done during T4 approach sessions,,number,T4 approach sessions,F4Q6,,number,dropdown,4,monthly,,TRUE,67,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
193,Hemocue sessions done during Community Engagement meetings,,number,Community Engagement meetings,F4Q6,,number,dropdown,4,monthly,,TRUE,68,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
194,Hemocue sessions done during Media Demonstration sessions,,number,Media Demonstration sessions,F4Q6,,number,dropdown,4,monthly,,TRUE,69,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
195,Hemocue sessions done during SHG meetings,,number,SHG meetings,F4Q6,,number,dropdown,4,monthly,,TRUE,70,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
196,Total hemocue sessions done,,number,total,F4Q3,,count,form,4,monthly,total,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
197,Percentage of Hemocue sessions done during T4 approach sessions,,percent,T4 approach sessions,192,196,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
198,Percentage of Hemocue sessions done during Community Engagement meetings,,percent,Community Engagement meetings,193,196,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
199,Percentage of Hemocue sessions done during Media Demonstration sessions,,percent,Media Demonstration sessions,194,196,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
200,Percentage of Hemocue sessions done during SHG meetings,,percent,SHG meetings,195,196,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
201,Total number of testings done,,number,total,F4QT1,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
202,Women tested who were pregnant ,,number,pregnant,F4Q9,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
203,Women tested who were lactating,,number,lactating,F4Q10,,number,numeric,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
204,Percentage of Women tested who were pregnant ,,percent,pregnant,202,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
205,Percentage of Women tested who were lactating,,percent,lactating,203,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
206,Women having Hb levels < 8,data.F4BEGINREPEAT001,number,less than 8,data.F4BEGINREPEAT001.F4BR002,,count,begin-repeat:count,4,monthly,and$lt(data.F4BEGINREPEAT001.F4BR002:8),TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
207,Women having Hb levels 8-10.9,data.F4BEGINREPEAT001,number,8 to 10.9,data.F4BEGINREPEAT001.F4BR002,,count,begin-repeat:count,4,monthly,and$gte(data.F4BEGINREPEAT001.F4BR002:8);and$lt(data.F4BEGINREPEAT001.F4BR002:11),TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
208,Women having Hb levels 11-11.9,data.F4BEGINREPEAT001,number,11 to 11.9,data.F4BEGINREPEAT001.F4BR002,,count,begin-repeat:count,4,monthly,and$gte(data.F4BEGINREPEAT001.F4BR002:11);and$lt(data.F4BEGINREPEAT001.F4BR002:12),TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
209,Women having Hb levels >= 12,data.F4BEGINREPEAT001,number,greater than 12,data.F4BEGINREPEAT001.F4BR002,,count,begin-repeat:count,4,monthly,and$gte(data.F4BEGINREPEAT001.F4BR002:12),TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
210,Percentage of Women having Hb levels < 8,,percent,less than 8,206,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
211,Percentage of Women having Hb levels 8-10.9,,percent,8 to 10.9,207,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
212,Percentage of Women having Hb levels 11-11.9,,percent,11 to 11.9,208,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
213,Percentage of Women having Hb levels >= 12,,percent,greater than 12,209,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
214,Women who have never taken IFA,data.F4BEGINREPEAT001,number,never taken IFA,data.F4BEGINREPEAT001.F4BR003,,number,begin-repeat:dropdown,4,monthly,,TRUE,72,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
215,"Women who have taken IFA at school, for pregnancy, during anaemia",data.F4BEGINREPEAT001,number,taken IFA at school,data.F4BEGINREPEAT001.F4BR003,,number,begin-repeat:dropdown,4,monthly,,TRUE,73,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
216,Women who are currently consuming IFA,data.F4BEGINREPEAT001,number,currently consuming IFA,data.F4BEGINREPEAT001.F4BR003,,number,begin-repeat:dropdown,4,monthly,,TRUE,74,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
217,Percentage of Women who have never taken IFA,,percent,never taken IFA,214,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
218,"Percentage of Women who have taken IFA at school, for pregnancy, during anaemia",,percent,taken IFA at school,215,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
219,Percentage of Women who are currently consuming IFA,,percent,currently consuming IFA,216,201,percent,indicator,4,monthly,,TRUE,,data.F4Q3,org.sdrc.datum19.document.CFInputFormData,Hemocue Testing,Hemocue Testing
